"name","category_name","min_price","max_price","position"
"クロスバイク入門セット/RIGHTPATH(ライトパース)","スポーツ自転車","30140","","126"
"cyma primer","スポーツ自転車","30980","34980","127"
"Michikusa","スポーツ自転車","30980","","128"
"ATH-435","スポーツ自転車","32800","","129"
"FERIADO(フェリアード)","スポーツ自転車","32980","","130"
"クロスバイク入門ワイドセット/RIGHTPATH(ライトパース)","スポーツ自転車","34840","","131"
"カゴ付きcyma primer","スポーツ自転車","34960","","132"
"カゴ付きMichikusa","スポーツ自転車","34960","","133"
"クロスバイク入門セット/cyma primer","スポーツ自転車","35140","","134"
"cavite(キャビテ)","スポーツ自転車","35980","","135"
"クロスバイク入門セット/FERIADO(フェリアード)","スポーツ自転車","37140","","136"
"CHACLE プレステッツァ","スポーツ自転車","38800","","137"
"クロスバイク入門ワイドセット/cyma primer","スポーツ自転車","39840","","138"
"カゴ付きcavite(キャビテ)","スポーツ自転車","39960","","139"
"オールストリート6s","スポーツ自転車","39980","42980","140"
"クロスバイク入門ワイドセット/FERIADO(フェリアード)","スポーツ自転車","41840","","141"
"MARKROSA 7S","スポーツ自転車","46000","46980","142"
"VACANZE 1","スポーツ自転車","46000","","143"
"TB1","スポーツ自転車","46800","","144"
"カゴ付きMARKROSA 7S","スポーツ自転車","48900","49880","145"
"EXクロス","スポーツ自転車","49800","","146"
"CYLVA F24","スポーツ自転車","50900","","147"
"FES ROAD","スポーツ自転車","51980","","148"
"カゴ付きTB1","スポーツ自転車","54070","","149"
"ORDINA (オルディナ) F5B","スポーツ自転車","56800","","150"
"FALAD","スポーツ自転車","61980","","151"
"フェンダー・カゴ付CYLVA F24","スポーツ自転車","64680","","152"
"フェンダー・カゴ付ORDINA F5B","スポーツ自転車","68530","","153"
"ロードバイク入門セット/FALAD-K","スポーツ自転車","68550","","154"
"ロードバイク入門ワイドセット/FALAD-K","スポーツ自転車","73850","","155"
"FALAD-PRO","スポーツ自転車","74980","","156"
"TRANS MOBILLY E-MAGIC 207E","スポーツ自転車","87980","","157"
"ベロスター","スポーツ自転車","98800","","158"
"ベロスター・ミニ","スポーツ自転車","98800","","159"
"benelli miniFold16 popular","スポーツ自転車","108900","","160"
"Harry Quinn PORTABLE E-BIKE","スポーツ自転車","114980","","161"
"ハリヤ","スポーツ自転車","127800","129800","162"
"DE03","スポーツ自転車","139000","","163"
"ZERO N2.0","スポーツ自転車","148000","","164"
"EX-CROSS e","スポーツ自転車","149800","","165"
"ジェッター","スポーツ自転車","150000","","166"
"PAS Brace","スポーツ自転車","151000","","167"
"benelli miniFold16","スポーツ自転車","158000","","168"
"ZERO N2.0 FAT","スポーツ自転車","158000","","169"
"benelli miniFold16 Classic","スポーツ自転車","158000","","170"
"YPJ-C","スポーツ自転車","169800","","171"
"evol C700","スポーツ自転車","179980","","172"
"DE01S","スポーツ自転車","185000","","173"
"TAGETE27.5","スポーツ自転車","185000","","174"
"YPJ-R","スポーツ自転車","197980","","175"
"evol M275","スポーツ自転車","199980","","176"
"ComO'rade(コモラード)","ミニベロ（小径車）","25980","","177"
"CURIOUS mini","ミニベロ（小径車）","27980","","178"
"Michikusa","ミニベロ（小径車）","30980","","179"
"mimosa(ミモザ)","ミニベロ（小径車）","32000","","180"
"カゴ付きMichikusa","ミニベロ（小径車）","34960","","181"
"limini+","ミニベロ（小径車）","35980","","182"
"ベガス","ミニベロ（小径車）","43800","","183"
"MARKROSA M7","ミニベロ（小径車）","44980","","184"
"カゴ付きMARKROSA M7","ミニベロ（小径車）","47880","","185"
"TRANS MOBILLY E-MAGIC 207E","ミニベロ（小径車）","87980","","186"
"アシスタファインミニ","ミニベロ（小径車）","91980","","187"
"ベロスター・ミニ","ミニベロ（小径車）","98800","","188"
"PAS CITY-V-2020モデル-","ミニベロ（小径車）","107980","","189"
"PAS CITY-X","ミニベロ（小径車）","107980","","190"
"ビビ・L・20","ミニベロ（小径車）","108800","","191"
"Jコンセプト -2020モデル-","ミニベロ（小径車）","110800","","192"
"リアルストリームミニ","ミニベロ（小径車）","114800","","193"
"フロンティアラクット","ミニベロ（小径車）","115980","","194"
"DE03","ミニベロ（小径車）","139000","","195"
"cyma compact","折りたたみ自転車","24980","","196"
"FDB206 TANK-N","折りたたみ自転車","28000","","197"
"JE-206G","折りたたみ自転車","30000","","198"
"LUCENT(ルーセント)","折りたたみ自転車","30980","","199"
"LeLi(レリィ)","折りたたみ自転車","32980","","200"
"cyma connect","折りたたみ自転車","33980","","201"
"CHACLE　FOLDING","折りたたみ自転車","33980","","202"
"RENAULT LIGHT10","折りたたみ自転車","41400","","203"
"RENAULT PLATINUM LIGHT6","折りたたみ自転車","59800","","204"
"TRANS MOBILLY E-Basic","折りたたみ自転車","59980","","205"
"RENAULT PLATINUM LIGHT8","折りたたみ自転車","63800","","206"
"TDN-206","折りたたみ自転車","63980","","207"
"TDN-208L","折りたたみ自転車","63980","","208"
"TRANS MOBILLY ULTRA LIGHT E-BIKE NEXT140","折りたたみ自転車","87980","","209"
"TRANS MOBILLY ULTRA LIGHT E-BIKE NEXT163","折りたたみ自転車","91980","","210"
"benelli miniFold16 popular","折りたたみ自転車","108900","","211"
"Harry Quinn PORTABLE E-BIKE","折りたたみ自転車","114980","","212"
"オフタイム","折りたたみ自転車","121980","123980","213"
"Qi CYCLE EF-1 Pro","折りたたみ自転車","135000","","214"
"ZERO N2.0","折りたたみ自転車","148000","","215"
"benelli miniFold16","折りたたみ自転車","158000","","216"
"ZERO N2.0 FAT","折りたたみ自転車","158000","","217"
"benelli miniFold16 Classic","折りたたみ自転車","158000","","218"
"DE01S","折りたたみ自転車","185000","","219"
"スパイスアップ","こども用自転車","31800","","220"
"ギムレットジュニア","こども用自転車","33800","","221"
